Word,Frequency
相次ぎ,8
凝り性,8
慎ましい,8
焦れる,8
患っ,8
山懐,8
後ろめた,8
潮目,8
真っ昼間,8
南京虫,8
前屈み,8
恭しく,8
細切れ,8
喪章,8
けたたましく,8
嘲る,8
温もり,7
遮二無二,7
言い放っ,7
詮無い,7
差そ,7
翳り,7
毛嫌い,7
千辛万苦,7
ほころん,7
群像,7
仄か,7
胡散臭い,7
早とちり,6
お菜,6
容易い,6
償わ,6
荒らげ,6
見切る,6
飛び交っ,6
刷り込ま,6
匿う,6
浮つく,6
つるん,6
脅かさ,6
見据え,6
驚喜,6
だまくらかす,6
お仕着せ,6
そんじょそこら,6
生贄,6
人混み,5
薄まる,5
甲高く,5
自惚れる,5
平伏し,5
魘される,5
日賦,5
疑る,5
目論む,5
酌み交わし,5
括ら,5
汗ばん,5
たじろい,5
軍手,5
揺さぶり,5
におわせる,5
ふらっと,5
温もる,4
切っ掛け,4
一先ず,4
嘸かし,4
厳つい,4
身嗜み,4
挙る,4
誘き,4
とろんと,4
わななか,4
にせよ,4
お洒落,4
疑り,4
今一,3
府警,3
ピタリ,3
こともなげに,3
悪びれる,3
まかなっ,3
徒刑囚,3
ずらから,2
危惧し,2
わかせる,2
一陣,2
煩わせる,2
こわば,2
魚介類,2
醸し,2
浴し,2
凍てつく,2
轟い,1
被験,1
寝そべり,1
踏み倒さ,1
名残惜し,1
恨めしかっ,1
見透かし,1
たかれる,1
手懐け,1
二世,1
驚駭,0
理想を抱いてタカシマに入ってはみたが、そのあり方に飽き足らず、,0
頭が切れて、弁も立ち、判断力に優れている。,0
深田は財産の共有制を退けた。,0
時が経過するにつれ、中間的な存在が受け入れられる余地はどんどん狭くなっていった。,0
しかし、かといってそれを全否定することもできなかった。,0
打者）,0
模した,0
理由がどうであれいささか品位に欠ける。,0
言付けられ,0
老婦人はその店の古くからの客らしく、奥の上席に通され、顔見知りらしい初老のウェイターに丁寧な給仕を受けた。,0
ちっともかまいません。その,0
そのことは何の影響も及ぼしません。,0
週に二回、青豆は老婦人の屋敷に行って、そこでマーシャル・アーツを彼女に指導した。,0
老婦人はその店の古くからの客らしく、奥の上席に通され、顔見知りらしい初老のウェイターに丁寧な給仕を受け,0
堂に,0
尾を引かない,0
はだかった,0
色褪せた,0
干から,0
天井は人を面白がらせるためにそこについているわけではない。,0
乗っけて,0
観葉植物,0
研ぎす,0
太腿,0
歪めながら,0
挺子,0
練った,0
躊躇なく、冷静に的確に、王国をその男の頭上に到来させた。,0
清められ,0
希求、,0
貶した,0
なりとも,0
節も見,0
整合性,0
薄れ、,0
めりこんで,0
着々と,0
じんわり,0
分かち合,0
ふくらはぎ,0
秘められている,0
艶やか,0
おさがり,0
妙め物,0
タッカン,0
放課後、,0
秘められている。,0
前夜、,0
「めくら,0
潤した。,0
刻々と,0
逸して,0
つっかえながら、,0
歪んだ,0
離婚訴訟の手間が省けて、保険金がすぐに入るからというような実際的な理由だけで、人の,0
岩壁,0
分かち合い,0
分かち合い、,0
鍵を開けて,0
なついている,0
かりそめ,0
くすんで,0
「端数,0
はぐら,0
あしらって,0
刷っている,0
解せない,0
次の角を曲がったところに何が待ち受けているか、曲がってみなくてはわからん。,0
「そう、無責任に聞こえるかもしれないが、見当もつかないというところが、まさにこ,0
暴かれる,0
着々と地歩,0
唯物論,0
こまねいている,0
敗れた,0
見え透いた,0
仕舞い込まれてしまったようだっ,0
よそに,0
